rank,stock_code,stock_name,market,yahoo_url,current_info,ytd_high_info,additional_info,company_name,sector,industry,current_price,ytd_high,ytd_high_date,ytd_low,ytd_low_date,year_start_price,ytd_return_pct,high_return_pct,market_cap,pe_ratio,volume,avg_volume
1,1305,iFreeETF TOPIX(年1回決算型),,https://finance.yahoo.co.jp/quote/1305.T,"3,30009/19","3,3402025/09/16","3,345",iFreeETF TOPIX (Yearly Dividend Type),N/A,N/A,3300.0,3345.0,2025-09-19,2333.15,2025-04-07,2679.22,23.17,24.85,8684115066880,15.475398,252650,165853
2,1306,(NEXT FUNDS)TOPIX連動型上場投信,,https://finance.yahoo.co.jp/quote/1306.T,"3,26609/19","3,3072025/09/16","3,312",NEXT FUNDS TOPIX Exchange Traded Fund,N/A,N/A,3266.0,3312.0,2025-09-19,2302.7,2025-04-07,2651.74,23.16,24.9,N/A,15.476231,2660710,1337253
3,1308,上場インデックスファンドTOPIX,,https://finance.yahoo.co.jp/quote/1308.T,"3,22609/19","3,2662025/09/16","3,272",Amova Exchange Traded Index Fund TOPIX,N/A,N/A,3226.0,3272.0,2025-09-19,2274.44,2025-04-07,2617.9,23.23,24.99,N/A,15.48332,603619,248666
4,1311,(NEXT FUNDS)TOPIX Core30連動型上場投信,,https://finance.yahoo.co.jp/quote/1311.T,"1,63709/19","1,6542025/08/19","1,656",NEXT FUNDS TOPIX Core 30 Exchange Traded Fund,N/A,N/A,1637.0,1656.0,2025-09-19,1110.87,2025-04-07,1312.4,24.73,26.18,N/A,16.486183,67290,15619
5,1320,iFreeETF 日経225(年1回決算型),,https://finance.yahoo.co.jp/quote/1320.T,"46,28009/19","46,7602025/09/18","47,150",iFreeETF Nikkei225 (Yearly Dividend Type),N/A,N/A,46280.0,47150.0,2025-09-19,31423.56,2025-04-07,37486.2,23.46,25.78,N/A,20.2674,97934,41304
6,1321,(NEXT FUNDS)日経225連動型上場投信,,https://finance.yahoo.co.jp/quote/1321.T,"46,39009/19","46,9102025/09/18","47,300",NEXT FUNDS Nikkei 225 Exchange Traded Fund,N/A,N/A,46390.0,47300.0,2025-09-19,31540.57,2025-04-07,37571.69,23.47,25.89,N/A,20.23077,736036,238236
7,1329,iシェアーズ・コア 日経225ETF,,https://finance.yahoo.co.jp/quote/1329.T,"4,65509/19","4,7012025/09/18","4,739",iShares Core Nikkei 225 ETF,N/A,N/A,4655.0,4739.0,2025-09-19,3158.96,2025-04-07,3763.99,23.67,25.9,N/A,21.595871,876656,461313
8,1330,上場インデックスファンド225,,https://finance.yahoo.co.jp/quote/1330.T,"46,46009/19","46,9702025/09/18","47,330",Amova Exchange Traded Index Fund 225,N/A,N/A,46460.0,47330.0,2025-09-19,31556.46,2025-04-07,37608.39,23.54,25.85,N/A,20.265896,82912,41043
9,1346,MAXIS 日経225上場投信,,https://finance.yahoo.co.jp/quote/1346.T,"46,47009/19","46,9702025/09/18","47,360",MAXIS NIKKEI225 ETF,N/A,N/A,46470.0,47360.0,2025-09-19,31595.82,2025-04-07,37610.76,23.56,25.92,N/A,20.259224,40812,19902
10,1348,MAXIS トピックス上場投信,,https://finance.yahoo.co.jp/quote/1348.T,"3,25809/19","3,2932025/09/16","3,300",MAXIS TOPIX ETF,N/A,N/A,3258.0,3300.0,2025-09-19,2299.48,2025-04-07,2643.95,23.22,24.81,N/A,15.495082,227520,106347
11,1358,上場インデックス日経レバレッジ指数,,https://finance.yahoo.co.jp/quote/1358.T,"65,40009/19","66,8402025/09/18","67,880",Listed Index Fund Nikkei Leveraged Index,N/A,N/A,65400.0,67880.0,2025-09-19,31365.68,2025-04-07,45654.5,43.25,48.68,N/A,21.27977,32779,13192
12,1364,ｉシェアーズ JPX日経400 ETF,,https://finance.yahoo.co.jp/quote/1364.T,"2,88009/19","2,9182025/09/16","2,925",iShares JPX-Nikkei 400 ETF,N/A,N/A,2880.0,25859.25,2024-12-30,2075.05,2025-04-07,24008.64,-88.0,7.71,N/A,16.478363,8376,11951
13,1365,iFreeETF 日経平均レバレッジ・インデックス,,https://finance.yahoo.co.jp/quote/1365.T,"53,37009/19","54,4602025/09/18","55,310",Daiwa ETF Japan Nikkei225 Leveraged Index,N/A,N/A,53370.0,55310.0,2025-09-19,25725.0,2025-04-07,37650.0,41.75,46.91,N/A,N/A,69517,45220
14,1367,iFreeETF TOPIXレバレッジ(2倍)指数,,https://finance.yahoo.co.jp/quote/1367.T,"46,62009/19","47,6902025/09/16","47,880",Daiwa ETF Japan TOPIX Leveraged (2x) Index,N/A,N/A,46620.0,47880.0,2025-09-19,24990.0,2025-04-07,32760.0,42.31,46.15,N/A,N/A,14529,7050
15,1369,One ETF 日経225,,https://finance.yahoo.co.jp/quote/1369.T,"45,15009/19","45,6502025/09/18","45,940",One ETF Nikkei225,N/A,N/A,45150.0,45940.0,2025-09-19,31000.0,2025-04-07,37060.56,21.83,23.96,N/A,20.251894,13989,6668
16,1376,カネコ種苗(株),,https://finance.yahoo.co.jp/quote/1376.T,"1,45209/19","1,4502025/09/18","1,454","Kaneko Seeds Co., Ltd.",Basic Materials,Agricultural Inputs,1452.0,1454.0,2025-09-19,1284.91,2025-04-07,1346.66,7.82,7.97,16179055616,13.568825,16600,8227
17,1382,(株)ホーブ,,https://finance.yahoo.co.jp/quote/1382.T,"2,91709/19","2,6002025/09/18","3,025","HOB Co.,Ltd.",Consumer Defensive,Farm Products,2917.0,3025.0,2025-09-19,1443.46,2025-04-07,1747.75,66.9,73.08,2221826304,95.23344,150100,14635
18,1384,(株)ホクリヨウ,,https://finance.yahoo.co.jp/quote/1384.T,"2,43509/19","2,4102025/09/18","2,457","Hokuryo Co., Ltd.",Consumer Defensive,Farm Products,2435.0,2457.0,2025-09-19,939.7,2024-09-19,943.51,158.08,160.41,20597469184,9.442742,71400,40809
19,1397,SMDAM 日経225上場投信,,https://finance.yahoo.co.jp/quote/1397.T,"45,54009/19","45,9702025/09/18","46,320",SMDAM NIKKEI225 ETF,N/A,N/A,45540.0,46320.0,2025-09-19,30579.2,2025-04-07,36891.05,23.44,25.56,N/A,20.259953,1341,2960
20,1458,楽天 ETF-日経レバレッジ指数連動型,,https://finance.yahoo.co.jp/quote/1458.T,"41,13009/19","42,0102025/09/18","42,690",Rakuten ETF-Nikkei 225 Leveraged Index,N/A,N/A,41130.0,42690.0,2025-09-19,19620.0,2025-04-07,28860.0,42.52,47.92,N/A,N/A,406919,299971
